topic,age_range,question,answer,source_name,source_url,tags
sleep,0-3m,신생아 수면 시간이 어떻게 되나요?,"신생아(0~3개월)는 하루 평균 **14~17시간**을 잡니다. 하지만 한 번에 길게 자지 않고 2~4시간씩 나눠서 자는 것이 정상입니다.

## 신생아 수면 특징
- 하루 총 수면: 14~17시간
- 한 번 수면 시간: 2~4시간
- 낮/밤 구분: 아직 없음 (생후 6~8주부터 발달)
- REM 수면 비율: 약 50% (성인은 20%)

## 왜 자주 깨나요?
1. **위가 작아요**: 한 번에 많이 먹지 못해 자주 수유 필요
2. **낮밤 구분이 없어요**: 아직 일주기 리듬이 발달하지 않음
3. **REM 수면이 많아요**: 얕은 잠이 많아 쉽게 깸

## 부모 팁
- 낮에는 밝고 활동적으로, 밤에는 어둡고 조용하게
- 수유 후 트림 시키고 바로 재우기
- 안전한 수면 환경 유지 (단단한 매트리스, 베개 없이)

⚠️ **주의**: 만약 하루 11시간 미만으로 자거나, 너무 많이 자서 수유를 거르는 경우 소아과 상담을 권장합니다.",대한소아과학회,https://www.pediatrics.or.kr,"신생아,수면시간,수면패턴,얼마나자야하나요"
sleep,4-6m,5개월 아기가 낮잠을 30분만 자요,"5개월 아기의 30분 낮잠은 **정상적인 수면 패턴**입니다. 이 시기 아기들의 수면 주기는 약 30~45분으로, 한 주기가 끝나면 자연스럽게 깨어나는 것이 흔합니다.

## 왜 30분만 잘까요?
- **수면 주기**: 4~6개월 아기의 수면 주기는 30~45분
- **수면 전환 능력**: 아직 다음 주기로 넘어가는 능력이 미숙
- **환경 변화 민감**: 깨어났을 때 잠들 때와 환경이 다르면 놀라서 깸

## 개선 방법
1. **각성 시간 조절**: 4~6개월은 깨어있는 시간이 **1.5~2.5시간**이 적당
2. **수면 환경 점검**: 방을 어둡게, 백색소음 활용
3. **수면 루틴**: 낮잠 전 5~10분 짧은 루틴 만들기
4. **스스로 잠들기 연습**: 졸릴 때 눕혀서 스스로 잠들 수 있도록

## 언제 걱정해야 할까요?
- 낮잠이 짧더라도 아기가 기분 좋게 일어나고
- 밤잠에 문제가 없다면
- 크게 걱정하지 않으셔도 됩니다!

⚠️ **참고**: 6개월 이후가 되면 수면 주기가 점차 길어지며, 낮잠도 1시간 이상으로 늘어나는 경우가 많습니다.",미국수면재단,https://www.sleepfoundation.org,"낮잠,30분낮잠,짧은낮잠,수면주기,각성시간"
sleep,7-12m,8개월 아기가 밤에 자주 깨요 (수면 퇴행),"8개월 아기가 갑자기 밤에 자주 깨는 것은 **8~10개월 수면 퇴행** 때문일 수 있습니다. 이는 정상적인 발달 과정이며, 보통 2~6주 내에 지나갑니다.

## 8개월 수면 퇴행이란?
발달적 도약기에 나타나는 일시적인 수면 문제입니다.
- 기어가기, 서기, 붙잡고 걷기 등 대근육 발달
- 분리불안 시작
- 뇌 발달로 인한 수면 패턴 변화

## 주요 증상
- 밤에 자주 깸 (1~2시간마다)
- 잠들기 어려워함
- 낮잠 거부
- 새벽에 일찍 깸

## 대처 방법
1. **일관성 유지**: 수면 루틴을 바꾸지 마세요
2. **낮 동안 충분한 연습**: 기어가기, 서기 등 낮에 많이 연습
3. **분리불안 대응**: 까꿍 놀이로 '엄마가 돌아온다'는 것 학습
4. **적절한 반응**: 바로 안아주기보다 1~2분 기다려보기
5. **수유 습관 점검**: 밤중 수유가 습관이 되지 않도록 주의

## 하지 말아야 할 것
❌ 새로운 수면 습관 만들기 (안고 재우기 등)
❌ 퇴행기에 수면 교육 시작하기
❌ 낮잠 줄이기 (오히려 밤잠이 더 나빠질 수 있음)

이 시기는 **기다림**이 가장 좋은 방법입니다. 2~6주 후 자연스럽게 좋아집니다.",대한수면학회,https://www.sleep.or.kr,"수면퇴행,8개월,밤에자주깸,분리불안"
feeding,4-6m,이유식 시작 시기가 언제인가요?,"WHO와 대한소아과학회는 **생후 6개월(만 5개월, 180일)**부터 이유식을 시작할 것을 권장합니다.

## 공식 권장 시기
- **WHO**: 생후 6개월
- **대한소아과학회**: 생후 5~6개월
- **미국소아과학회(AAP)**: 생후 4~6개월 (발달 신호에 따라)

## 이유식 시작 준비 신호
아기가 다음 4가지를 보이면 시작해도 됩니다:
1. ✅ **목을 가눌 수 있음**
2. ✅ **도움 받아 앉을 수 있음**
3. ✅ **음식에 관심을 보임** (어른이 먹을 때 쳐다보기, 입 벌리기)
4. ✅ **혀 내밀기 반사가 줄어듦**

## 이유식 순서 (대한소아과학회)
| 월령 | 형태 | 예시 |
|------|------|------|
| 6개월 | 미음 | 쌀미음 |
| 6~7개월 | 묽은 죽 | 쌀죽 + 채소 |
| 8~9개월 | 된 죽 | 죽 + 고기 + 채소 |
| 10~12개월 | 진밥 | 무른 밥 + 반찬 |

## 주의사항
- ❌ **4개월 이전 시작 금지**: 소화기관 미성숙, 알레르기 위험
- ⚠️ **새 재료는 3~5일 간격**: 알레르기 반응 관찰
- ⚠️ **꿀은 돌 전 금지**: 보툴리눔 중독 위험

## 알레르기 고위험 식품
땅콩, 계란, 우유, 밀, 생선, 갑각류, 견과류, 콩
→ 최근 연구에 따르면 **일찍 소량씩 노출**하는 것이 오히려 알레르기 예방에 도움",대한소아과학회,https://www.pediatrics.or.kr,"이유식,시작시기,6개월,이유식시작"
feeding,7-12m,9개월 아기 하루 수유량이 어떻게 되나요?,"9개월 아기의 하루 수유량은 **600~800ml** 정도가 적당합니다. 이유식이 본격화되면서 수유량은 자연스럽게 줄어듭니다.

## 9개월 수유 가이드
| 구분 | 권장량 | 횟수 |
|------|--------|------|
| 모유/분유 | 600~800ml | 3~4회 |
| 이유식 | 하루 2~3회 | 죽 120~150g |

## 하루 일과 예시
- 07:00 모유/분유 200ml
- 10:00 이유식 (죽 + 반찬)
- 12:00 모유/분유 150ml
- 15:00 이유식 (죽 + 반찬)
- 18:00 이유식 (죽 + 반찬) - 선택
- 20:00 모유/분유 200ml (취침 전)

## 주의사항
1. **이유식이 주식**: 9개월부터는 이유식이 주 영양원
2. **철분 섭취**: 고기, 계란 노른자 등 철분 식품 필수
3. **수유 전 이유식**: 배고플 때 이유식 먼저 주기

## 이런 경우 소아과 상담
- 수유량이 급격히 줄거나 늘 때
- 체중 증가가 멈춘 경우
- 음식을 거부하는 경우",대한소아과학회,https://www.pediatrics.or.kr,"수유량,9개월,이유식,분유량"
development,4-6m,4개월 아기 뒤집기 언제 해야 하나요?,"대부분의 아기들은 **생후 4~6개월** 사이에 뒤집기를 시작합니다. 하지만 발달에는 개인차가 크므로, 7개월까지도 정상 범위입니다.

## 뒤집기 발달 순서
1. **3~4개월**: 옆으로 기울기 시도
2. **4~5개월**: 배→등 뒤집기 (더 쉬움)
3. **5~6개월**: 등→배 뒤집기
4. **6~7개월**: 양방향 자유롭게 뒤집기

## 뒤집기 도와주는 방법
1. **터미타임 충분히**: 하루 30분~1시간 (나눠서)
2. **장난감 유도**: 옆에 장난감 놓아 관심 끌기
3. **다리 도와주기**: 한쪽 다리를 반대쪽으로 넘겨주기
4. **칭찬하기**: 작은 움직임에도 격려

## 이런 경우 소아과 상담
- 6개월이 지나도 뒤집기 시도 없음
- 한쪽 방향으로만 뒤집음
- 목 가누기가 불안정함
- 터미타임을 극도로 싫어함

## 안전 주의사항
⚠️ 뒤집기 시작하면 **수면 안전** 재점검!
- 침대에 푹신한 물건 제거
- 스스로 뒤집을 수 있으면 배로 자도 OK
- 아직 뒤집기 못하면 등으로 재우기",질병관리청,https://www.kdca.go.kr,"뒤집기,4개월,대근육발달,터미타임"
health,all,아기 열이 나요. 어떻게 해야 하나요?,"아기 발열은 **월령에 따라 대응이 다릅니다**. 아래 가이드를 참고하되, 걱정되시면 반드시 소아과에 방문하세요.

## 🚨 응급실 가야 하는 경우
- **생후 3개월 미만** + 38°C 이상 → **즉시 응급실**
- 열성 경련 (경기)
- 의식이 흐릿함
- 숨쉬기 어려워함
- 12시간 이상 소변 없음
- 보라색/붉은 반점이 번짐

## 월령별 발열 기준
| 월령 | 발열 기준 | 대응 |
|------|----------|------|
| 0~3개월 | 38°C 이상 | 즉시 소아과/응급실 |
| 3~6개월 | 38.5°C 이상 | 소아과 방문 |
| 6개월 이상 | 39°C 이상 | 상태 관찰 후 방문 |

## 가정에서 할 수 있는 것
1. **미지근한 물로 닦기**: 겨드랑이, 사타구니
2. **수분 보충**: 모유/분유/보리차 자주
3. **옷 벗기기**: 과하게 입히지 않기
4. **해열제**: 의사 지시에 따라 (아세트아미노펜, 이부프로펜)

## 해열제 사용 (6개월 이상, 의사 상담 필수)
- **아세트아미노펜**: 체중 kg당 10~15mg, 4~6시간 간격
- **이부프로펜**: 체중 kg당 5~10mg, 6~8시간 간격
- ❌ 아스피린 금지 (라이 증후군 위험)

⚠️ **중요**: 이 정보는 일반적인 가이드입니다. 아기의 상태가 걱정되시면 **반드시 소아과 전문의와 상담**하세요.",대한소아과학회,https://www.pediatrics.or.kr,"발열,열,체온,해열제,응급"
emotion,7-12m,8개월 아기 분리불안이 심해요,"8개월경 시작되는 분리불안은 **정상적인 발달 과정**입니다. 이는 아기가 엄마(주 양육자)와 자신이 '다른 존재'임을 인식하게 되면서 나타납니다.

## 분리불안이란?
- **시작**: 보통 6~8개월
- **최고조**: 10~18개월
- **완화**: 2~3세경

## 분리불안 증상
- 엄마가 안 보이면 울음
- 낯선 사람 경계 (낯가림)
- 엄마한테만 안기려 함
- 잠들 때 엄마 곁에 있어야 함

## 대처 방법
1. **까꿍 놀이**: '사라졌다 돌아온다'는 개념 학습
2. **짧은 분리부터**: 10초 → 30초 → 1분씩 늘리기
3. **예고하기**: ""엄마 화장실 갔다 올게"" 말하고 가기
4. **침착하게 이별**: 눈물에 동요하지 않기
5. **돌아왔을 때 안아주기**: ""엄마 왔어!"" 반갑게 인사

## 하지 말아야 할 것
❌ 몰래 사라지기 → 불안 더 커짐
❌ 아기 울음에 바로 돌아오기 → 울면 돌아온다고 학습
❌ 분리 시 길게 인사하기 → 짧고 담담하게

## 언제 전문가 상담?
- 24개월 이후에도 심한 분리불안
- 일상생활이 어려울 정도
- 다른 발달 지연 동반",대한소아정신건강의학회,https://www.kacap.or.kr,"분리불안,8개월,낯가림,애착"
sleep,13-24m,18개월 아기 낮잠을 거부해요,"18개월 아기가 낮잠을 거부하는 것은 **18개월 수면 퇴행** 또는 **낮잠 전환기**일 수 있습니다.

## 18개월 수면 퇴행
이 시기에 나타나는 일시적 현상:
- 언어 폭발기
- 자아 발달 (""싫어!"" 시기)
- 대근육 발달 (달리기, 오르기)

## 낮잠 거부 원인
1. **수면 퇴행**: 2~6주 내 지나감
2. **낮잠 전환**: 2회 → 1회로 줄어드는 시기
3. **각성 시간 부족**: 낮잠까지 충분히 깨어있지 않음
4. **과자극**: 낮에 너무 많은 활동

## 대처 방법
1. **낮잠 시간 조정**: 오전 낮잠 없애고 점심 후 1회로
2. **각성 시간**: 기상 후 **5~6시간** 뒤 낮잠
3. **루틴 유지**: 거부해도 조용한 시간 갖기
4. **침대 시간 줄이기**: 낮잠 안 자면 30분 후 일어나기

## 낮잠 전환 시기 (2회 → 1회)
- **13~18개월** 사이에 자연스럽게
- 오후 낮잠만 남기고 (12:30~14:00 시작)
- 전환기에는 밤잠 일찍 재우기

## 이런 경우 주의
- 낮잠 완전히 없애지 마세요 (3세까지 필요)
- 너무 늦은 낮잠은 밤잠 방해
- 낮잠 거부가 한 달 이상 지속되면 상담",미국수면재단,https://www.sleepfoundation.org,"낮잠거부,18개월,수면퇴행,낮잠전환"
feeding,0-3m,모유 수유 중 카페인 섭취해도 되나요?,"모유 수유 중 **적당량의 카페인은 안전**합니다. 하루 **200~300mg 이하**가 권장됩니다.

## 카페인 권장량
- **하루 200~300mg 이하** (커피 1~2잔)
- WHO 권장: 300mg 미만
- 미국소아과학회: 200mg 권장

## 카페인 함량 (대략)
| 음료 | 카페인 |
|------|--------|
| 아메리카노 (톨) | 150mg |
| 드립 커피 | 95~200mg |
| 라떼 | 63~175mg |
| 녹차 | 25~50mg |
| 콜라 | 30~40mg |
| 초콜릿 | 10~30mg |

## 주의사항
1. **아기 반응 관찰**: 보챔, 수면 문제 있으면 줄이기
2. **수유 직후 마시기**: 2~3시간 후 모유 내 카페인 최저
3. **누적 주의**: 커피 + 녹차 + 초콜릿 합산

## 카페인 민감한 아기 증상
- 평소보다 보챔
- 잠을 잘 못 잠
- 안절부절
- 특히 신생아는 더 민감

## 피해야 할 것
❌ 에너지 드링크 (고카페인 + 기타 성분)
❌ 하루 3잔 이상의 커피

적당량을 지킨다면 걱정하지 않으셔도 됩니다 ☕",대한모유수유의학회,https://www.bfmed.co.kr,"카페인,모유수유,커피,수유중커피"





